# SYNTHETIC REPLAY DATA - NOT REAL PHYSIOLOGICAL MEASUREMENTS
# Generated deterministically by neurophase/physio/demo-gen script (seed=42).
# Four regimes: warm-up, clean, artifact burst, recovery. See README demo section.
timestamp_s,rr_ms
0.824,823.66
1.631,807.52
2.460,829.01
3.291,831.29
4.088,796.59
4.892,804.37
5.714,821.53
6.530,816.21
7.350,819.80
8.160,809.76
8.990,830.55
9.820,829.33
10.640,820.79
11.474,833.53
12.300,825.61
13.109,809.69
13.934,824.43
14.742,808.49
15.573,830.54
16.392,819.40
17.210,817.78
18.022,811.83
18.856,834.67
19.675,818.15
20.489,814.86
21.305,815.77
22.132,826.39
22.956,824.39
23.781,824.95
24.606,825.17
25.452,845.70
26.267,815.12
27.082,814.88
27.894,811.86
28.720,826.16
29.551,831.29
30.370,818.86
31.182,811.60
31.993,811.76
32.820,826.51
33.647,827.43
34.473,825.43
35.286,813.34
36.108,822.32
36.929,821.17
37.752,822.19
38.580,828.71
39.403,822.24
40.229,826.79
41.050,820.68
41.873,822.89
42.699,826.31
43.505,805.43
44.322,816.80
45.137,815.30
45.950,813.61
46.768,817.25
47.233,464.85
48.807,1574.03
49.256,449.05
50.805,1549.51
51.215,409.95
52.820,1604.88
53.258,437.59
54.879,1621.34
55.323,443.80
56.912,1589.54
57.318,406.13
58.944,1625.74
59.358,414.26
60.920,1561.73
61.306,386.00
62.878,1572.42
63.313,434.91
64.918,1604.27
65.358,440.71
66.946,1587.18
67.370,424.76
68.989,1618.77
69.400,410.72
71.014,1613.70
71.414,400.14
73.003,1589.11
73.411,408.55
74.975,1564.12
75.410,434.61
76.996,1585.92
77.416,420.37
79.031,1614.42
79.464,433.40
81.084,1619.96
81.501,417.05
83.088,1587.30
83.506,417.61
85.055,1549.38
85.432,376.59
86.992,1560.32
87.758,765.15
88.600,841.99
89.370,770.20
90.169,799.20
91.060,891.46
91.861,800.41
92.721,860.56
93.490,768.65
94.299,808.70
95.066,767.75
95.868,801.35
96.734,866.22
97.459,725.00
98.303,843.89
99.136,833.08
99.923,787.32
100.664,740.47
101.488,823.97
102.279,790.88
103.111,832.80
103.932,820.26
104.771,839.22
105.588,817.13
106.396,807.72
107.218,822.15
108.041,822.64
108.877,836.31
109.707,830.02
110.531,824.28
111.369,837.56
112.174,805.73
112.987,812.32
113.796,808.88
114.611,815.32
115.414,803.48
116.242,827.62
117.059,817.33
117.862,802.35
118.670,807.81
119.493,823.76
120.323,830.06
121.167,843.96
122.022,854.97
122.847,824.97
123.655,808.13
